                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.55028,                0.48646,                0.55032,                 1.0139,                0.91801,                0.20968,                0.19348,                0.18243,                0.91801,                0.20968,                0.19348,                0.18408,                    nan,                 0.7395,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     47,                0.55597,                0.49265,                0.52637,                 1.0179,                0.91899,                0.20968,                0.19209,                 0.1657,                0.91899,                0.20968,                0.19209,                0.17927,                    nan,                0.75711,                    nan,                    nan,              0.0015545,              0.0015545,              0.0015545
                     48,                0.55082,                0.49128,                0.52477,                  1.019,                0.92315,                0.20968,                0.19197,                0.17632,                0.92315,                0.20968,                0.19197,                0.18521,                    nan,                0.87362,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     49,                0.52773,                0.45043,                  0.538,                      1,                0.83277,                0.20968,                0.18589,                0.16841,                0.83277,                0.20968,                0.18589,                0.17691,                    nan,                0.73796,                    nan,                    nan,              0.0015347,              0.0015347,              0.0015347
                     50,                0.51661,                0.48856,                0.49599,                0.99621,                0.91208,                0.20968,                0.19181,                0.17075,                0.91208,                0.20968,                0.19181,                0.18488,                    nan,                0.72617,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     51,                0.52764,                0.45311,                0.49469,                 1.0054,                0.92401,                0.20968,                0.19389,                0.17827,                0.92401,                0.20968,                0.19389,                0.19133,                    nan,                0.78178,                    nan,                    nan,              0.0015149,              0.0015149,              0.0015149
                     52,                0.51142,                0.45615,                0.47896,                0.99986,                0.92367,                0.20968,                 0.1955,                0.18357,                0.92367,                0.20968,                 0.1955,                0.19101,                    nan,                0.55227,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     53,                0.52154,                0.48231,                0.49341,                  1.014,                0.92324,                0.20968,                0.19662,                0.18569,                0.92324,                0.20968,                0.19662,                0.19662,                    nan,                0.72062,                    nan,                    nan,              0.0014951,              0.0014951,              0.0014951
                     54,                0.52273,                0.47082,                0.46204,                 1.0275,                0.92174,                0.20968,                0.19513,                0.17837,                0.92174,                0.20968,                0.19513,                0.19008,                    nan,                0.52186,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     55,                0.54065,                0.46635,                0.52573,                 1.0319,                0.92218,                0.20968,                0.19653,                0.18869,                0.92218,                0.20968,                0.19653,                0.19443,                    nan,                0.44498,                    nan,                    nan,              0.0014753,              0.0014753,              0.0014753
                     56,                0.49264,                0.43923,                0.48899,                0.99983,                 0.9212,                0.20968,                0.19596,                0.18937,                 0.9212,                0.20968,                0.19596,                0.19122,                    nan,                0.49793,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     57,                0.55276,                0.48151,                0.52115,                 1.0249,                0.92348,                0.20968,                0.19458,                0.18407,                0.92348,                0.20968,                0.19458,                0.19458,                    nan,                0.60285,                    nan,                    nan,              0.0014555,              0.0014555,              0.0014555
                     58,                0.50132,                0.41717,                0.48438,                0.98686,                0.88552,                0.20968,                 0.1987,                0.17987,                0.88552,                0.20968,                 0.1987,                0.18973,                    nan,                0.69841,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     59,                0.50276,                0.41112,                 0.4532,                 1.0014,                0.92265,                0.20968,                0.19918,                0.18004,                0.92265,                0.20968,                0.19918,                0.19518,                    nan,                0.74595,                    nan,                    nan,              0.0014357,              0.0014357,              0.0014357
                     60,                0.51593,                0.45569,                0.49106,                 1.0315,                0.92421,                0.20968,                0.19982,                0.18659,                0.92421,                0.20968,                0.19982,                0.19574,                    nan,                 0.6087,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     61,                0.50563,                0.46394,                0.45931,                 1.0113,                0.92384,                0.20968,                0.19955,                0.19428,                0.92384,                0.20968,                0.19955,                0.19955,                    nan,                0.55638,                    nan,                    nan,              0.0014159,              0.0014159,              0.0014159
                     62,                0.48999,                0.47132,                0.48617,                 1.0131,                0.92167,                0.20968,                0.19653,                0.18763,                0.92167,                0.20968,                0.19653,                0.19195,                    nan,                0.49687,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     63,                 0.5138,                0.46775,                   0.47,                 1.0104,                0.92826,                0.20876,                0.20905,                0.20905,                0.92826,                0.20876,                0.20905,                0.20124,                    nan,                0.68179,                    nan,                    nan,              0.0013961,              0.0013961,              0.0013961
                     64,                 0.4849,                0.41707,                  0.471,                0.96995,                0.92205,                0.20968,                0.21465,                0.20648,                0.92205,                0.20968,                0.21465,                0.20036,                    nan,                0.61458,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     65,                 0.4908,                0.44042,                0.44969,                0.99551,                  0.922,                0.20968,                0.19743,                0.18123,                  0.922,                0.20968,                0.19743,                0.19348,                    nan,                0.60736,                    nan,                    nan,              0.0013763,              0.0013763,              0.0013763
                     66,                 0.4832,                0.39483,                 0.4573,                0.97504,                0.92236,                0.20968,                0.19678,                0.18647,                0.92236,                0.20968,                0.19678,                0.19151,                    nan,                0.55978,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     67,                0.46579,                0.45096,                0.47985,                 0.9676,                0.92284,                0.20968,                0.19494,                0.18743,                0.92284,                0.20968,                0.19494,                0.19082,                    nan,                0.50765,                    nan,                    nan,              0.0013565,              0.0013565,              0.0013565
